ID,hamming_cluster
20080303081591,3
20061109061073,1
20081211080542,6
20120504121314,6
20131009131779,2
20030503032383,6
20100302100603,5
20121009121324,2
20080503082228,3
20030908030991,6
20181008181884,6
20150604151824,1
20100908102013,6
20040301042429,2
20140301141325,1
20111010111888,1
20100402101068,2
20171211172264,2
20060706062422,4
20130706132358,6
20130302130664,6
20170302170683,2
20080112072436,5
20100112090054,4
20090403090603,2
20180404182244,1
20110908112209,6
20100909101025,3
20040302040587,2
20051110051399,2
20080504082037,5
20140505140500,2
20150505150696,5
20070101071315,1
20110908111404,1
20120706121857,1
20170112161030,2
20161110162433,1
20181212180806,5
20131009132407,3
20100504100009,1
20060605061264,6
20050706052164,5
20160706161916,6
20110706111918,6
20080605082370,3
20090402091132,3
20151010150794,5
20130302131200,2
20140404140762,5
20090403091867,2
20070111061523,6
20070505072150,6
20060302061368,1
20130112120104,6
20041009042269,5
20080808080001,6
20150212141829,5
20131009131340,6
20041209040534,2
20090403092040,6
20170706171014,6
20181008181402,3
20060807062496,6
20120707121455,1
20030504031646,1
20030504032201,2
20110302110585,2
20120112110113,1
20071110072479,1
20160404161890,1
20140908142194,6
20030504032858,6
20140201141455,3
20061210060710,5
20071009071499,2
20050201050612,5
20050101050729,1
20070707070103,5
20070605071452,2
20180111171258,2
20080402080883,2
20061010061916,5
20030403030934,2
20041212041674,6
20091009090650,1
20071009070068,1
20050908052363,5
20170706171106,6
20100403101753,5
20090604091788,6
20040909041460,1
20040112033053,6
20170212161979,1
20070808072527,1
20050112042352,2
20110908111876,2
20110806111634,2
20091009091433,6
20170706170908,6
20140908140093,6
20101211102210,1
20071210070619,1
20080112071030,6
20030705031496,6
20041211041515,2
20130504130083,1
20080806080687,6
20130504130797,6
20140201141497,2
20101211101234,5
20080908082215,3
20120201122132,1
20180706181766,1
20150706150564,1
20100403102042,1
20181211180123,2
20150201150833,3
20070404071944,4
20031110031776,2
20100706101622,6
20041109042441,2
20091211091098,1
20131110131759,5
20090504090511,5
20070908071280,2
20080403081427,1
20030112021692,2
20090101091238,6
20031110031492,3
20080202081133,5
20160505161295,1
20080202082322,1
20100302102379,1
20150504150792,5
20140605141803,1
20080908081528,1
20160201160768,2
20160302162346,1
20120706121604,2
20130705130119,1
20070302071771,1
20170907171023,1
20180111171206,2
20151109150579,2
20080605080814,4
20170112160526,3
20181211182519,1
20040504042409,5
20140303141110,4
20040403042340,1
20050112041037,5
20170111160755,5
20150302151188,2
20040403042055,1
20050706051227,6
20070807072424,5
20111009111453,2
20140908142435,1
20160807160737,2
20150301152429,3
20160201162210,6
20040403041233,5
20110505111442,6
20160201162394,1
20110908111537,1
20080504081432,2
20071010072316,1
20071110072266,6
20120807122318,5
20090606090747,6
20091211092359,2
20110201111932,5
20101009101507,1
20131008132307,1
20070302072256,1
20041211041881,1
20040606041369,5
20041110042039,6
20170604172261,2
20111109110617,5
20161009160933,1
20111109111695,2
20110503111680,2
20031009031734,5
20070605072520,2
20070504072614,5
20041211042164,5
20030403030612,1
20070202071518,2
20100907101804,5
20170504172371,6
20040604041175,5
20091110092036,6
20090504091308,6
20141009142249,5
20140504140111,1
20120112111969,1
20080807081420,6
20050505051853,5
20110706112007,5
20120303122451,6
20160111150769,5
20081211081645,6
20031009030759,3
20150112141902,1
20150504150708,2
20131110131809,5
20060908061294,5
20120605121651,2
20181111181302,5
20040706041641,5
20150403152168,5
20151009151176,1
20180502181662,6
20180402181450,3
20180402182165,5
20080403081503,6
20050403052212,1
20100303101027,5
20080505081306,6
20060403061145,1
20180101181180,1
20120403120987,6
20140807141093,5
20171110172003,1
20150908150609,5
20070111061259,1
20180908180099,5
20050403050916,6
20130908130080,6
20040302042557,1
20050201051383,5
20131009132114,2
20120503120673,1
20130403130084,1
20080908082460,2
20151110151712,2
20100201101131,5
20171009172139,1
20070212060920,2
20070908071186,1
20080201081323,3
20050605052180,5
20131110130980,6
20040111033281,5
20050909051267,5
20180806182013,6
20070404071786,2
20101110101631,1
20121211121694,5
20181008181714,1
20180807180759,2
20040808042558,5
20131009132322,3
20180201181822,5
20030403030841,5
20050201051724,2
20090101091153,5
20060202060795,6
20090605092343,6
20171110171761,5
20040805041949,5
20031009031128,1
20091009090803,1
20171110170933,5
20070908071542,5
20140112132272,1
20171110172510,5
20030111022165,4
20161009162210,5
20101111100052,5
20160112152245,4
20180403180111,4
