ID,lcs_cluster
20141110142514,3
20121212121270,3
20170503171349,1
20081110081333,1
20060302060083,1
20091211091919,1
20150808150652,3
20031009030593,1
20171009171581,1
20170908172505,1
20120705121282,3
20110403112031,3
20040605041803,3
20160302160987,3
20060101061781,1
20170605171463,3
20090112082474,3
20160403160782,1
20170808171095,2
20180101180897,1
20120807121734,3
20130403130767,1
20150403150155,3
20180705181470,1
20091111090948,2
20060807061140,3
20071009072528,3
20110605111578,3
20140604140609,1
20121010122450,3
20040302042478,3
20050201050015,3
20111110110779,1
20131211132170,1
20060908062241,3
20030908032124,1
20050302051598,1
20051110050598,1
20180503181205,1
20090302090139,3
20060504060080,3
20080808082247,3
20110908110924,1
20140603142334,1
20030604031179,3
20071110072192,1
20030201032254,2
20160807161159,3
20041110041185,3
20101110101528,3
20120403120589,3
20170807172504,3
20130201131816,3
20040403040070,3
20101009101933,3
20090302092357,3
20110908110511,3
20110403111399,3
20030403031280,2
20081008082078,2
20050112042533,1
20101110101306,1
20100112092411,1
20040909040983,3
20180201180778,1
20120605120857,1
20111211110523,3
20170706171790,3
20121009120857,3
20181110182062,3
20030605033634,1
20180302181274,1
20130706130794,3
20040301041815,3
20141211141066,3
20150404151136,3
20150112140694,1
20171009172119,2
20170111161705,3
20150908150959,2
20180403181318,3
20150504152151,3
20150301152451,3
20150605152253,3
20100807101001,1
20120807121959,3
20140504142415,3
20120706121292,1
20080504082482,1
20111010111139,3
20180707180873,1
20100604100875,3
20040201042075,3
20040504042159,1
20050302052157,1
20030706030863,3
20040605041806,1
20180807180931,3
20070302070699,1
20030503031373,1
