ID,osa_cluster
20130705130119,3
20070302071771,3
20170907171023,3
20180111171206,3
20151109150579,3
20080605080814,4
20170112160526,1
20181211182519,3
20040504042409,2
20140303141110,4
20040403042340,3
20050112041037,2
20170111160755,2
20150302151188,3
20040403042055,3
20050706051227,2
20070807072424,2
20111009111453,3
20140908142435,3
20160807160737,3
20150301152429,1
20160201162210,2
20040403041233,2
20110505111442,2
20160201162394,3
20110908111537,3
20080504081432,3
20071010072316,3
20071110072266,2
20120807122318,2
20090606090747,2
20091211092359,3
20110201111932,3
20101009101507,3
20131008132307,3
20070302072256,3
20041211041881,3
20040606041369,2
20041110042039,2
20170604172261,4
20111109110617,2
20161009160933,3
20111109111695,4
20110503111680,3
20031009031734,2
20070605072520,3
20070504072614,2
20041211042164,2
20030403030612,3
20070202071518,4
20100907101804,3
20170504172371,2
20040604041175,2
20091110092036,2
20090504091308,2
20141009142249,2
20140504140111,3
20120112111969,3
20080807081420,2
20050505051853,2
20110706112007,2
20120303122451,2
20160111150769,2
20081211081645,2
20031009030759,1
20150112141902,3
20150504150708,3
20131110131809,2
20060908061294,2
20120605121651,3
20181111181302,2
20040706041641,2
20150403152168,2
20151009151176,3
20180502181662,2
20180402181450,1
20180402182165,2
20080403081503,2
20050403052212,3
20100303101027,2
20080505081306,2
20060403061145,3
20180101181180,3
20120403120987,2
20140807141093,2
20171110172003,3
20150908150609,2
20070111061259,3
20180908180099,2
20050403050916,2
20130908130080,2
20040302042557,3
20050201051383,2
20131009132114,3
20120503120673,3
20130403130084,3
20080908082460,3
20151110151712,3
20100201101131,2
20171009172139,3
20070212060920,3
20070908071186,3
20080201081323,1
20050605052180,2
20131110130980,2
20040111033281,2
20050909051267,2
20180806182013,2
20070404071786,3
20101110101631,3
20121211121694,2
20181008181714,3
20180807180759,3
20040808042558,2
20131009132322,1
20180201181822,2
20030403030841,2
20050201051724,3
20090101091153,2
20060202060795,2
20090605092343,2
20171110171761,2
20040805041949,2
20031009031128,3
20091009090803,3
20171110170933,2
20070908071542,2
20140112132272,3
20171110172510,2
20030111022165,4
20161009162210,2
20101111100052,2
20160112152245,4
20180403180111,4
20030504031520,3
20060403062451,2
20181211181552,3
20070605070799,2
20150807150097,4
20120404122029,2
20071210071992,3
20121110121658,3
20130504131815,3
20150604150783,2
20060112052343,2
20120403121651,3
20111110111799,3
20050807051926,3
20181109182202,3
20100403100775,2
20160403162264,3
20170908172175,2
20030706032540,2
20070706072342,4
20101009100505,3
20140201141375,3
20030908032693,1
20050111040555,3
20140302141234,2
20121008121652,3
20080403081438,2
20040605041708,4
20050201051495,2
20031009033356,2
20101008101410,1
20171210171660,1
20180606182135,3
20050201051576,2
20170302170577,3
20070302071352,3
20040605041793,3
20060605061760,2
20140807141452,2
20110201112498,3
20031009031300,3
